category,doc_class,filename,is_attack,sig_accept,sig_reason,hash_accept,hash_reason,dpm_accept,dpm_reason
attack_A2_metadata/d_ocg_toggle,certificate,certificate_004.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,certificate,certificate_005.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,certificate,certificate_006.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,invoice,invoice_001.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,invoice,invoice_002.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,invoice,invoice_003.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,invoice,invoice_004.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,invoice,invoice_005.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,invoice,invoice_006.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,admin_record,admin_record_001.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,admin_record,admin_record_002.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,admin_record,admin_record_003.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,admin_record,admin_record_004.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,admin_record,admin_record_005.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,admin_record,admin_record_006.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,certificate,certificate_001.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,certificate,certificate_002.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,certificate,certificate_003.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,certificate,certificate_004.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,certificate,certificate_005.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,certificate,certificate_006.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
attack_A2_metadata/e_hide_and_replace,invoice,invoice_001.pdf,True,True,sig_valid,False,hash_mismatch,False,r_catalog
